image,label,reason,id,output
49898712-7045-4682-b9f6-4546566c654d-491-0,,显示购买失败浮窗,49898712-7045-4682-b9f6-4546566c654d-491,下单过程中出现异常（显示购买失败浮窗）
a7a6e488-ee50-48d4-a81e-19d05342b873-414-0,,订单详情页显示发货失败，属于下单过程中出现的异常,a7a6e488-ee50-48d4-a81e-19d05342b873-414,下单过程中出现异常（显示购买失败浮窗）
a8a0f1cb-e435-4942-ba88-852daca08a0f-427-0,,出现稍等片刻浮窗，可能是后端服务响应延迟，属于下单过程中出现的异常,a8a0f1cb-e435-4942-ba88-852daca08a0f-427,下单过程中出现异常（显示购买失败浮窗）
a67b8059-187a-4715-a558-2453bd528481-447-0,,显示购买失败浮窗,a67b8059-187a-4715-a558-2453bd528481-447,下单过程中出现异常（显示购买失败浮窗）
cdfdc513-670d-4583-a136-51b48cd14c75-412-0,,显示购买失败浮窗,cdfdc513-670d-4583-a136-51b48cd14c75-412,下单过程中出现异常（显示购买失败浮窗）
d3d69670-265e-40d8-887f-f6376d5667b6-470-0,,显示购买失败浮窗,d3d69670-265e-40d8-887f-f6376d5667b6-470,下单过程中出现异常（显示购买失败浮窗）
e7728279-4499-4c62-9edc-0666dde96a23-424-0,,显示购买失败浮窗,e7728279-4499-4c62-9edc-0666dde96a23-424,下单过程中出现异常（显示购买失败浮窗）
3a84584a-177d-407c-99c9-6e8796280f74-370-0,商品详情页截图,展示了商品价格、折扣后的价格（补贴后¥7526）、折扣力度（优惠前¥8184），发货时间（三天内发货），属于商品详情页截图,3a84584a-177d-407c-99c9-6e8796280f74-370,商品详情页截图
3ccae610-e299-47ad-a7d5-b55f599c4460-349-0,,关于88VIP价格、续费方式、使用条款，属于商品详情页截图,3ccae610-e299-47ad-a7d5-b55f599c4460-349,商品详情页截图
4a7a0a92-d76d-4386-b608-587b778149ea-386-0,,主要显示商品名称搓澡巾与图片，并显示商品优惠活动（每300减50）与服务保障（退货运费险）等，属于商品详情页截图,4a7a0a92-d76d-4386-b608-587b778149ea-386,商品详情页截图
4b94023a-6a7e-4044-ad97-86cf0a9c5647-348-0,,显示商品名称“小狗凉席”，并显示相关产品信息，属于商品详情页截图,4b94023a-6a7e-4044-ad97-86cf0a9c5647-348,商品详情页截图
6d1eda11-4157-45b3-a617-35013aefc392-390-0,,主要显示商品图片与折扣后价格，属于商品详情页截图,6d1eda11-4157-45b3-a617-35013aefc392-390,商品详情页截图
7ecdc46f-b992-467c-a41e-3ad966ec2286-303-0,,主要显示商品用途、尺寸、材质、型号等信息，属于商品详情页截图,7ecdc46f-b992-467c-a41e-3ad966ec2286-303,商品详情页截图
8a4fff38-4519-4a8f-8c01-15f84ed1da74-343-0,,展示商品不同颜色商品的质感，属于商品详情页截图,8a4fff38-4519-4a8f-8c01-15f84ed1da74-343,商品详情页截图
8b0d6f2a-5b34-4819-8844-b064f378426f-301-0,,关于88VIP购物卡商品包月价格、会员特权等信息，属于商品详情页截图,8b0d6f2a-5b34-4819-8844-b064f378426f-301,商品详情页截图
29b5b7e8-2589-4c19-8fdc-f92981c58e8e-328-0,,主要显示了一个产品的图片、规格、价格等信息，属于商品详情页截图,29b5b7e8-2589-4c19-8fdc-f92981c58e8e-328,商品详情页截图
78ed06ab-8489-4783-9153-01a15e72661f-338-0,,显示了有关商品退货政策信息，包含了退货运费险和7天无理由退货的说明，属于商品详情页截图,78ed06ab-8489-4783-9153-01a15e72661f-338,商品详情页截图
79fd4c9f-3ebd-4a18-8858-4ae488d6f3e9-385-0,,展示了关于商品购买的服务信息，如假一赔四、退货运费险、极速退款和7天无理由退换等政策，属于商品详情页截图,79fd4c9f-3ebd-4a18-8858-4ae488d6f3e9-385,商品详情页截图
88c16dc1-c80c-46b1-9435-0b2e31b7e5ab-329-0,,主要展示了空调的规格参数和安装服务收费标准，以便消费者了解产品特性和相关服务，属于商品详情页截图,88c16dc1-c80c-46b1-9435-0b2e31b7e5ab-329,商品详情页截图
153f5f33-a4cd-46db-9fcc-18f5d4488bff-391-0,,显示了商品相关信息，如价格、图片、描述、购买选项等信息，属于商品详情页截图,153f5f33-a4cd-46db-9fcc-18f5d4488bff-391,商品详情页截图
388c5e97-cb33-456f-8a34-30a373bfb3c6-302-0,,展示了淘宝省钱卡商品的开通价格与开通后的相关保障，属于商品详情页截图,388c5e97-cb33-456f-8a34-30a373bfb3c6-302,商品详情页截图
427a59b0-840f-4668-bcb6-b7594c516e2a-342-0,,主要展示了一个产品的特写图片和相关的产品介绍文字，属于商品详情页截图,427a59b0-840f-4668-bcb6-b7594c516e2a-342,商品详情页截图
507f1839-3e94-467b-a815-16ab10c04ea7-300-0,,展示了一个望远镜套装的各个组件和配件，属于商品详情页截图,507f1839-3e94-467b-a815-16ab10c04ea7-300,商品详情页截图
4983bae0-ea38-4b1f-9a4e-b20cc5a28a52-317-0,,显示有关商品退货和补寄政策的详细信息，这些信息通常会出现在商品详情页中，以便消费者了解购买条款和售后服务,4983bae0-ea38-4b1f-9a4e-b20cc5a28a52-317,商品详情页截图
903193eb-732e-43fe-9f87-bb4c0234eb00-360-0,,主要展示了汽车座椅套的图片和价格信息，属于商品详情页截图,903193eb-732e-43fe-9f87-bb4c0234eb00-360,商品详情页截图
4872157d-015c-423d-bf0f-261e2552204f-364-0,,显示了有关商品退货运费险和7天无理由退货的政策信息，这些通常出现在商品详情页中，以便消费者了解购物条款和退货政策,4872157d-015c-423d-bf0f-261e2552204f-364,商品详情页截图
b41e809f-626e-44c9-ab0e-c52840d8b55d-387-0,,展示了有关88VIP购物卡商品的包月价格与购买后的相关福利，如免费退货、售后保障快速响应，属于商品详情页截图,b41e809f-626e-44c9-ab0e-c52840d8b55d-387,商品详情页截图
c5aaa403-e3aa-4441-8ea7-20bd48c5bbc7-381-0,,展示了88VIP会员退货包运费服务的详细说明，内容包括服务条款、使用条件和会员权益等，这些都是商品详情页中常见的信息,c5aaa403-e3aa-4441-8ea7-20bd48c5bbc7-381,商品详情页截图
c8bd40f5-038f-4ad8-b595-870e60d6c341-305-0,,显示了88VIP会员的各种权益和优惠信息，这些内容通常会出现在商品或服务的详细介绍页面中，以便用户了解会员资格的具体福利和使用条件,c8bd40f5-038f-4ad8-b595-870e60d6c341-305,商品详情页截图
c8e56757-3e82-48ab-b73a-3dd994cbf75e-388-0,,展示了产品的各个组件和特点，通常用于在线购物平台的产品介绍页面。图中包含产品图片、配件、以及文字说明，这些都是商品详情页的典型元素,c8e56757-3e82-48ab-b73a-3dd994cbf75e-388,商品详情页截图
c9a319fc-b81e-47bd-9730-3b57da24f3c3-341-0,,展示了88VIP生活卡商品与其他类型卡的比较，包括价格、优惠和权益等内容，属于商品详情页截图,c9a319fc-b81e-47bd-9730-3b57da24f3c3-341,商品详情页截图
c413dfe4-0566-467c-b8a1-f75aef504c8b-374-0,,主要显示了商品的相关信息，如产品参数、图片等，属于商品详情页截图,c413dfe4-0566-467c-b8a1-f75aef504c8b-374,商品详情页截图
caa76553-5fca-4813-bb23-4ef714726aa7-354-0,,显示了商品的详细信息，包括名称、净含量、产地、品牌和茶种类等，属于商品详情页截图,caa76553-5fca-4813-bb23-4ef714726aa7-354,商品详情页截图
ced52abc-6e1f-4c2b-a398-707f52a48947-373-0,,展示了购物卡商品的价格、会员特权等内容，这些通常会出现在商品详情页中,ced52abc-6e1f-4c2b-a398-707f52a48947-373,商品详情页截图
d4a634f3-7338-4142-bff0-bce16d77b994-357-0,,显示了商品服务信息，包括退货政策和VIP运费优惠，属于商品详情页截图,d4a634f3-7338-4142-bff0-bce16d77b994-357,商品详情页截图
d39621fd-6caf-42d8-9792-2273ec991a9e-325-0,,展示了一套运动服的正面和背面设计，并且包含了细节特写，是商品详情页中用来让消费者了解产品外观和设计的内容,d39621fd-6caf-42d8-9792-2273ec991a9e-325,商品详情页截图
dea6d27b-8ccc-4d53-bfc5-11f4ed29696b-339-0,,展示了一款产品（电动剃须刀）的图片和相关特点说明，如顺滑刀网、高效净剃、全身水洗等，这些信息通常出现在商品的详细介绍页面中,dea6d27b-8ccc-4d53-bfc5-11f4ed29696b-339,商品详情页截图
e54b8758-4cd0-4a5b-9e2b-b7831064b1d1-314-0,,显示了一个商家的公告、商品价格等信息，属于商品详情页截图,e54b8758-4cd0-4a5b-9e2b-b7831064b1d1-314,商品详情页截图
ec323a8c-8945-4e32-a51a-6387eb4f5fe9-334-0,,显示了产品参数信息，如产地、储存条件、包装方式等，属于商品详情页截图,ec323a8c-8945-4e32-a51a-6387eb4f5fe9-334,商品详情页截图
f1847dcd-1afd-46e8-b0fa-ddd948ff577a-358-0,,主要展示了商品图片、价格、促销信息、购买选项和用户评价等典型的商品页面元素，这些都是商品详情页的常见特征,f1847dcd-1afd-46e8-b0fa-ddd948ff577a-358,商品详情页截图
0ba50144-1857-4ea4-ad65-590d40076fe6-278-0,商品头图,展示了商品首页的大图,0ba50144-1857-4ea4-ad65-590d40076fe6-278,商品头图
0d86d1a7-f741-4ef1-90ac-718b8bbad4ba-259-0,,展示了商品首页的大图,0d86d1a7-f741-4ef1-90ac-718b8bbad4ba-259,商品头图
1e7ecd17-bec5-4bf5-86fb-78354f2a4f33-290-0,,展示了商品首页的大图,1e7ecd17-bec5-4bf5-86fb-78354f2a4f33-290,商品头图
1f93ab0f-8f09-4398-aabf-9a2e18cd2b35-250-0,,展示了商品首页的大图,1f93ab0f-8f09-4398-aabf-9a2e18cd2b35-250,商品头图
2f904998-4f4a-4cd9-afd9-7c4978b63c31-271-0,,展示了商品首页的大图,2f904998-4f4a-4cd9-afd9-7c4978b63c31-271,商品头图
3b5c2838-ffcb-4512-a876-ee40349e0a4a-219-0,,展示了商品首页的大图,3b5c2838-ffcb-4512-a876-ee40349e0a4a-219,商品头图
3fa142a3-cc52-4569-996a-9db104acece4-204-0,,展示了商品首页的大图,3fa142a3-cc52-4569-996a-9db104acece4-204,商品头图
4a1ac1e7-5568-4e33-8104-232b8fcc13d8-267-0,,展示了商品首页的大图,4a1ac1e7-5568-4e33-8104-232b8fcc13d8-267,商品头图
4d8d7a8b-86c1-42b1-9fe7-362944c88fc3-248-0,,展示了商品首页的大图,4d8d7a8b-86c1-42b1-9fe7-362944c88fc3-248,商品头图
5ad7f554-0275-43eb-8db4-a61400135b47-291-0,,展示了商品首页的大图,5ad7f554-0275-43eb-8db4-a61400135b47-291,商品头图
9bae44ea-704b-4f13-ab64-4bc7a186da17-214-0,,展示了商品首页的大图,9bae44ea-704b-4f13-ab64-4bc7a186da17-214,商品头图
82ee06a9-d5bc-4be3-b7a4-6ae37e07a463-279-0,,展示了商品首页的大图,82ee06a9-d5bc-4be3-b7a4-6ae37e07a463-279,商品头图
99d8d751-31ba-4e46-9d67-b20d039fb4c8-237-0,,展示了商品首页的大图,99d8d751-31ba-4e46-9d67-b20d039fb4c8-237,商品头图
713f8571-fc5a-40b2-967c-e0d6aed1401a-272-0,,展示了商品首页的大图,713f8571-fc5a-40b2-967c-e0d6aed1401a-272,商品头图
1192c019-b07e-4d91-a32c-c15e98668b72-205-0,,展示了商品首页的大图,1192c019-b07e-4d91-a32c-c15e98668b72-205,商品头图
2578d062-aaba-4cd3-98f0-5e6d0f41d4a8-234-0,,展示了商品首页的大图,2578d062-aaba-4cd3-98f0-5e6d0f41d4a8-234,商品头图
6726b584-4c16-4c31-8943-d9c1a4fce411-238-0,,展示了商品首页的大图,6726b584-4c16-4c31-8943-d9c1a4fce411-238,商品头图
15046b01-1d96-4c3f-be40-be817334b376-269-0,,展示了商品首页的大图,15046b01-1d96-4c3f-be40-be817334b376-269,商品头图
689968bd-fa60-4fae-b279-811831e9b7be-253-0,,展示了商品首页的大图,689968bd-fa60-4fae-b279-811831e9b7be-253,商品头图
764605ef-a753-4921-914b-a6de1306da5c-295-0,,展示了商品首页的大图,764605ef-a753-4921-914b-a6de1306da5c-295,商品头图
a613c735-2ca1-459e-8c94-cb25b70a21c9-251-0,,展示了商品首页的大图,a613c735-2ca1-459e-8c94-cb25b70a21c9-251,商品头图
aceb1709-deed-40e2-99f9-620a35b0572c-229-0,,展示了商品首页的大图,aceb1709-deed-40e2-99f9-620a35b0572c-229,商品头图
af458050-b8de-4837-a969-c3aba6f4f394-247-0,,展示了商品首页的大图,af458050-b8de-4837-a969-c3aba6f4f394-247,商品头图
b2a45fbf-08c4-4cf1-9d08-21aedc7ed4a2-268-0,,展示了商品首页的大图,b2a45fbf-08c4-4cf1-9d08-21aedc7ed4a2-268,商品头图
b2c9ac7e-98b5-4ad0-a0cf-06111c6b43b3-297-0,,展示了商品首页的大图,b2c9ac7e-98b5-4ad0-a0cf-06111c6b43b3-297,商品头图
b5e3305d-b36c-442a-bd38-ad45af84cb79-235-0,,展示了商品首页的大图,b5e3305d-b36c-442a-bd38-ad45af84cb79-235,商品头图
b9ea1964-20ec-4580-9b24-9b2590c6dd66-265-0,,展示了商品首页的大图,b9ea1964-20ec-4580-9b24-9b2590c6dd66-265,商品头图
b624af69-bd09-419f-aee9-bb8bdff40b2a-225-0,,展示了商品首页的大图,b624af69-bd09-419f-aee9-bb8bdff40b2a-225,商品头图
bcd3b9a0-c78c-42ee-9ab1-6a608ca31048-282-0,,展示了商品首页的大图,bcd3b9a0-c78c-42ee-9ab1-6a608ca31048-282,商品头图
c70125ea-1c3d-429f-8b02-1f9f934a689f-266-0,,展示了商品首页的大图,c70125ea-1c3d-429f-8b02-1f9f934a689f-266,商品头图
ccc9cc11-c449-4af8-a292-2f786ae6ce78-249-0,,展示了商品首页的大图,ccc9cc11-c449-4af8-a292-2f786ae6ce78-249,商品头图
cd16c765-96bb-4116-8ff0-b43ffe040e20-233-0,,展示了商品首页的大图,cd16c765-96bb-4116-8ff0-b43ffe040e20-233,商品头图
e809c8c0-efd0-4e71-a08f-d1477cf47000-236-0,,展示了商品首页的大图,e809c8c0-efd0-4e71-a08f-d1477cf47000-236,商品头图
ea159335-7af2-4b8d-b678-8830b940751d-277-0,,展示了商品首页的大图,ea159335-7af2-4b8d-b678-8830b940751d-277,商品头图
f6112f73-bff7-4088-9861-3ad9b274ad27-223-0,,展示了商品首页的大图,f6112f73-bff7-4088-9861-3ad9b274ad27-223,商品头图
f942220d-3a22-4519-acaa-44258232e627-224-0,,展示了商品首页的大图,f942220d-3a22-4519-acaa-44258232e627-224,商品头图
faf3d4f0-4a8e-4f46-9df6-ba942491517c-287-0,,展示了商品首页的大图,faf3d4f0-4a8e-4f46-9df6-ba942491517c-287,商品头图
1bea64b4-d60b-4f5e-8d2b-4c631bc5e522-135-0,商品分类选项,展示了不同的商品规格和颜色选择，属于商品规格分类选项,1bea64b4-d60b-4f5e-8d2b-4c631bc5e522-135,商品分类选项
2cc511df-d5ac-4d26-9f60-924fa740c47a-124-0,,因为它显示了商品的价格、规格选择（如型号），属于商品规格分类选项,2cc511df-d5ac-4d26-9f60-924fa740c47a-124,商品分类选项
4f5691fb-eb5d-47e0-8f33-89d5516e114e-173-0,,展示了不同的商品规格和颜色分类选项。图中显示了多个选择，如「高蛋白全猫粮」和「无谷鸡肉幼猫粮」，这些都是典型的商品规格和颜色分类信息,4f5691fb-eb5d-47e0-8f33-89d5516e114e-173,商品分类选项
5a98e2ea-815a-48e5-a98a-44aae9d06eba-123-0,,展示了不同的商品颜色和规格选项，用户可以选择颜色、尺寸等来定制购买的商品，属于商品分类选项,5a98e2ea-815a-48e5-a98a-44aae9d06eba-123,商品分类选项
5bd09002-fd57-4577-acea-fac4a374b678-167-0,,显示了商品规格（如容量和数量），这些信息通常用于让消费者选择购买的具体商品规格，属于商品分类选项,5bd09002-fd57-4577-acea-fac4a374b678-167,商品分类选项
5ceeccfd-28f8-4f1a-a2cf-30ecb86a1bb6-152-0,,显示了商品的颜色（白色钛金属、蓝色钛金属）和规格选项（128GB、256GB、1TB），属于商品分类选项,5ceeccfd-28f8-4f1a-a2cf-30ecb86a1bb6-152,商品分类选项
8b0456a8-414b-4837-85f2-99e762912e26-109-0,,展示了购买商品时的不同选择，包括颜色（白色、黑色、原色、蓝色钛金属）和内存（256GB、512GB、1TB）等选项，属于商品分类选项,8b0456a8-414b-4837-85f2-99e762912e26-109,商品分类选项
9a26d4b8-3307-496f-ad37-62dd53e5b0d3-172-0,,显示了空调的不同规格和选项，如空调类型、空调功率、能效等级和冷暖类型，属于商品分类选项,9a26d4b8-3307-496f-ad37-62dd53e5b0d3-172,商品分类选项
9e99e0b5-54dc-4d6b-8a65-68dd2bab692d-149-0,,展示了购买商品时的不同选择，包括颜色（黑色、金色）、存储容量（如12GB+512GB）和套餐类型。这些选项让消费者可以根据自己的需求选择合适的商品配置,9e99e0b5-54dc-4d6b-8a65-68dd2bab692d-149,商品分类选项
9ffca122-c6e6-4780-93a3-65178f5f8a9b-184-0,,显示了不同的商品颜色和规格选项供消费者选择。图中列出了多种颜色和存储容量的组合，属于商品分类选项,9ffca122-c6e6-4780-93a3-65178f5f8a9b-184,商品分类选项
36b235dc-f7a4-440b-a709-fce103bdf058-101-0,,显示了不同商品颜色和规格的选择，让消费者可以根据喜好选择不同的商品变体，属于商品分类选项,36b235dc-f7a4-440b-a709-fce103bdf058-101,商品分类选项
42ae8b61-5fa0-43eb-aad3-efef733afbbc-157-0,,显示了不同的产品规格和选择，例如“黄金/神仙精油50ml”、“极光精油100ml”、“玫瑰精油100ml”等，属于商品分类选项,42ae8b61-5fa0-43eb-aad3-efef733afbbc-157,商品分类选项
63beb7c4-c799-4e93-bc5e-44445a1d5170-106-0,,显示了购买商品时的颜色和规格选择（如粉色、12GB+512GB），以及价格和购买方式等信息，属于商品分类选项,63beb7c4-c799-4e93-bc5e-44445a1d5170-106,商品分类选项
63c5aba0-ba1c-4139-bf12-1d7e17774e9b-119-0,,显示了购买的商品类型和规格选项，例如「AirPods 3 配magsafe充电盒」和「AirPods 3 配闪电充电盒」，属于商品分类选项,63c5aba0-ba1c-4139-bf12-1d7e17774e9b-119,商品分类选项
65f260d2-2236-4aaf-88f2-c69e2164125d-180-0,,显示了不同规格和颜色的商品选择，例如 iPad Air 的不同存储容量和颜色选项，属于商品分类选项,65f260d2-2236-4aaf-88f2-c69e2164125d-180,商品分类选项
75db8c6a-07b8-448d-8bb7-25a387f78a1a-164-0,,展示了不同的商品规格和价格选择。图中显示了多个产品选项，包括不同的数量和价格，属于商品分类选项,75db8c6a-07b8-448d-8bb7-25a387f78a1a-164,商品分类选项
85bc84fc-84f5-45ea-a6f6-37e2e573647d-116-0,,展示了购买商品时的颜色和内存规格选择。图中显示了不同的颜色选项（如白色、黑色、原色、蓝色钛金属）和内存容量（如128GB、256GB等），属于商品分类选项,85bc84fc-84f5-45ea-a6f6-37e2e573647d-116,商品分类选项
279db291-a8da-4028-bef3-486eb18dda93-161-0,,显示了购买商品时的规格选择，属于商品分类选项,279db291-a8da-4028-bef3-486eb18dda93-161,商品分类选项
461bbe04-c31b-4bc8-b8f0-78feefb9147f-108-0,,展示了不同的商品规格和颜色选择，属于商品分类选项,461bbe04-c31b-4bc8-b8f0-78feefb9147f-108,商品分类选项
2562d0ba-2014-4745-b8d3-6c93f0b8d7f9-175-0,,图片中显示了两种颜色的商品图片，以及多个尺寸选项（如M、L、XL等），属于商品分类选项,2562d0ba-2014-4745-b8d3-6c93f0b8d7f9-175,商品分类选项
04447acb-9526-42d6-9d26-2c5ee43a6f54-113-0,,主要展示不同颜色和款式的包包选项，属于商品分类选项,04447acb-9526-42d6-9d26-2c5ee43a6f54-113,商品分类选项
282859db-f0ba-4a6d-993e-91b8707179a0-193-0,,展示不同的商品规格和口味选择，如冬瓜茶砖的不同包装和重量选项。此外，还有颜色分类的选项，这些都是典型的商品分类选项,282859db-f0ba-4a6d-993e-91b8707179a0-193,商品分类选项
75153042-e4f1-4a54-9daf-3eee42188c91-122-0,,显示不同规格和尺寸的选择，例如NB码、S码、L码、XL码等，属于商品分类选项,75153042-e4f1-4a54-9daf-3eee42188c91-122,商品分类选项
aaa83b65-0678-4055-8adf-328a2958bdd6-199-0,,展示了商品的颜色和尺寸选择（紫色、红色，尺寸S、M、L），属于商品分类选项,aaa83b65-0678-4055-8adf-328a2958bdd6-199,商品分类选项
b7a895a8-6ce0-4b39-b73f-a5bbf79ade45-111-0,,主要展示了商品的不同规格选项（如128GB和256GB），属于商品分类选项,b7a895a8-6ce0-4b39-b73f-a5bbf79ade45-111,商品分类选项
badd64cf-6a55-434e-b88c-af5fb8052bc5-174-0,,主要显示了多种商品规格和香味选择，例如「柠檬清香」、「纯白清香」等，让消费者可以选择不同的产品变体，属于商品分类选项,badd64cf-6a55-434e-b88c-af5fb8052bc5-174,商品分类选项
c21c9ce3-ed62-4fda-91eb-3e5b096eb759-141-0,,显示了购买商品时的颜色和规格选择（如内存大小），属于商品分类选项,c21c9ce3-ed62-4fda-91eb-3e5b096eb759-141,商品分类选项
c233e0e3-892d-4551-8699-48e4730a8a87-129-0,,展示了不同的商品款式和规格选项，如颜色、型号（如AP77车手花）、尺寸（如2XL）等，属于商品分类选项,c233e0e3-892d-4551-8699-48e4730a8a87-129,商品分类选项
d1dfd94f-7dc0-4c5c-a818-92f958d76040-195-0,,显示了不同的商品规格和颜色选择，例如处理器型号、记忆体和显示卡配置等，属于商品分类选项,d1dfd94f-7dc0-4c5c-a818-92f958d76040-195,商品分类选项
d9d229c6-6678-44a9-b422-b548f5011abb-188-0,,显示了不同的商品颜色的选择，属于商品分类选项,d9d229c6-6678-44a9-b422-b548f5011abb-188,商品分类选项
dd796d26-741e-4d2c-bf53-456aa6e42645-136-0,,显示了商品规格选择，属于商品分类选项,dd796d26-741e-4d2c-bf53-456aa6e42645-136,商品分类选项
e66c592f-10bf-4d02-a75f-b456c80dd9b5-153-0,,显示了商品的颜色和规格选项（如存储容量），属于商品分类选项,e66c592f-10bf-4d02-a75f-b456c80dd9b5-153,商品分类选项
e71de6e6-929e-46f5-9984-bee2e4058021-155-0,,主要展示了鞋子的不同款式和尺码选择，属于商品分类选项,e71de6e6-929e-46f5-9984-bee2e4058021-155,商品分类选项
e410d38c-a0c3-41f9-8ce6-3ad8c0273205-137-0,,主要展示了购买商品的颜色和规格选项（如白色），属于商品分类选项,e410d38c-a0c3-41f9-8ce6-3ad8c0273205-137,商品分类选项
f860e23d-74b9-4c83-aa08-0485a8a7e1a3-186-0,,主要展示了购买商品时的规格选择，如颜色（幻夜黑）和内存规格（12GB+256GB等），属于商品分类选项,f860e23d-74b9-4c83-aa08-0485a8a7e1a3-186,商品分类选项
0ec27e79-0856-4727-a9b0-643ddf537e8e-1223-0,退款页面,退款详情介面（上方显示），显示包括退款金额、退款原因、申请时间等信息，属于退款页面,0ec27e79-0856-4727-a9b0-643ddf537e8e-1223,退款页面
0ed8a210-faf0-42c6-9ec9-1f5551089204-1182-0,,显示退款成功的信息，包括退款时间、退款金额，属于退款页面,0ed8a210-faf0-42c6-9ec9-1f5551089204-1182,退款页面
1b2cc631-82cf-413d-b9f8-fce2d4fe7b84-1247-0,,退款详情介面，显示退款时间、退款金额，属于退款页面,1b2cc631-82cf-413d-b9f8-fce2d4fe7b84-1247,退款页面
1b93d38f-4ac6-4218-a6f5-a4297f2b496a-1212-0,,退款详情介面，主要显示退款相关信息，如退款时间、退款金额,1b93d38f-4ac6-4218-a6f5-a4297f2b496a-1212,退款页面
2ec26674-278f-49a3-ac05-d6d723891fa4-1158-0,,退款详情介面（上方显示），主要显示了退款总金额、退款原因、退款金额、申请时间等信息，这些都是典型的退款相关内容,2ec26674-278f-49a3-ac05-d6d723891fa4-1158,退款页面
4be4fbf3-025e-4004-be92-bb43a78fd4ff-1210-0,,退款详情介面，包含了退款的详细信息，例如退款金额、退款原因、申请时间等,4be4fbf3-025e-4004-be92-bb43a78fd4ff-1210,退款页面
6c098a4b-1700-4144-bb3c-a96c9be24478-1207-0,,显示了退款申请的详细信息，包括货物状态、退款原因、金额，以及相关的图片证据，这些都是典型的退款信息,6c098a4b-1700-4144-bb3c-a96c9be24478-1207,退款页面
8d4e7de8-2754-4895-937c-307a305f57c5-1226-0,,显示了退款成功的信息，包括退款金额、退款日期，这些都是典型的退款相关信息,8d4e7de8-2754-4895-937c-307a305f57c5-1226,退款页面
14cb57ec-3f82-4f26-b32c-955b5a374f9b-1153-0,,显示了一个购物应用的退款/售后页面，包含有关退款申请的状态和操作选项，如“撤销申请”、“修改申请”、“联系商家”等。这些元素表明该页面涉及退款信息,14cb57ec-3f82-4f26-b32c-955b5a374f9b-1153,退款页面
65d5cd48-93d9-4c3d-87a6-521206480832-1221-0,,图片主要包含 了“退款”字样，并且显示了相关的日期和时间，这通常是退款信息的一部分,65d5cd48-93d9-4c3d-87a6-521206480832-1221,退款页面
67aae9c0-4a9f-4dbd-9bc5-79a398e5a7b6-1175-0,,包含退款成功的信息、退款时间、退款金额等详细内容，这些都是典型的退款相关信息,67aae9c0-4a9f-4dbd-9bc5-79a398e5a7b6-1175,退款页面
